date,close_krw,close_usd
2021-12-31,2.011,2.011
2021-12-24,1.997,1.997
2021-12-17,1.94,1.94
2021-12-10,2.0,2.0
2021-12-03,2.027,2.027
2021-11-26,2.05,2.05
2021-11-19,2.188,2.188
2021-11-12,2.166,2.166
2021-11-05,2.166,2.166
2021-10-29,2.405,2.405
2021-10-22,2.203,2.203
2021-10-15,2.098,2.098
2021-10-08,2.049,2.049
2021-10-01,1.961,1.961
2021-09-24,1.859,1.859
2021-09-17,1.79,1.79
2021-09-10,1.75,1.75
2021-09-03,1.696,1.696
2021-08-27,1.667,1.667
2021-08-20,1.597,1.597
2021-08-13,1.666,1.666
2021-08-06,1.674,1.674
2021-07-30,1.638,1.638
2021-07-23,1.639,1.639
2021-07-16,1.718,1.718
2021-07-09,1.684,1.684
2021-07-02,1.781,1.781
2021-06-25,1.764,1.764
2021-06-18,1.678,1.678
2021-06-11,1.658,1.658
2021-06-04,1.724,1.724
2021-05-28,1.673,1.673
2021-05-21,1.629,1.629
2021-05-14,1.651,1.651
2021-05-07,1.643,1.643
2021-04-30,1.63,1.63
2021-04-23,1.573,1.573
2021-04-16,1.582,1.582
2021-04-09,1.578,1.578
2021-04-02,1.575,1.575
2021-03-26,1.532,1.532
2021-03-19,1.578,1.578
2021-03-12,1.596,1.596
2021-03-05,1.438,1.438
2021-02-26,1.449,1.449
2021-02-19,1.344,1.344
2021-02-10,1.337,1.337
2021-02-05,1.311,1.311
2021-01-29,1.32,1.32
2021-01-22,1.326,1.326
2021-01-15,1.314,1.314
2021-01-08,1.326,1.326
