date,close_krw,close_usd
1974-12-27,32496.0,67.14
1974-12-20,32384.0,66.91
1974-12-13,32462.0,67.07
1974-12-06,25939.0,65.01
1974-11-29,27918.0,69.97
1974-11-22,27491.0,68.9
1974-11-15,28692.0,71.91
1974-11-08,29889.0,74.91
1974-11-01,29478.0,73.88
1974-10-25,27978.0,70.12
1974-10-18,28840.0,72.28
1974-10-11,28385.0,71.14
1974-10-04,24874.0,62.34
1974-09-27,25911.0,64.94
1974-09-20,27986.0,70.14
1974-09-13,26015.0,65.2
1974-09-06,28497.0,71.42
1974-08-30,28788.0,72.15
1974-08-23,28548.0,71.55
1974-08-16,30192.0,75.67
1974-08-09,32263.0,80.86
1974-08-02,31357.0,78.59
1974-07-26,32878.0,82.4
1974-07-19,33332.0,83.54
1974-07-12,33177.0,83.15
1974-07-05,33380.0,83.66
1974-06-28,34314.0,86.0
1974-06-21,34897.0,87.46
1974-06-14,36429.0,91.3
1974-06-07,36927.0,92.55
1974-05-31,34825.0,87.28
1974-05-24,35343.0,88.58
1974-05-17,35196.0,88.21
1974-05-10,36497.0,91.47
1974-05-03,36425.0,91.29
1974-04-26,35982.0,90.18
1974-04-19,37397.0,93.75
1974-04-11,36747.0,92.12
1974-04-05,37102.0,93.01
1974-03-29,37479.0,93.98
1974-03-22,38772.0,97.27
1974-03-15,39563.0,99.28
1974-03-08,38965.0,97.78
1974-03-01,38059.0,95.53
1974-02-22,37994.0,95.39
1974-02-15,36742.0,92.27
1974-02-08,36766.0,92.33
1974-02-01,37947.0,95.32
1974-01-25,38439.0,96.63
1974-01-18,37985.0,95.56
1974-01-11,37230.0,93.66
1974-01-04,39303.0,98.9
