date,close_krw,close_usd
1987-12-31,792.3,1.0
1987-12-26,793.5,1.0
1987-12-19,794.8,1.0
1987-12-12,795.1,1.0
1987-12-05,795.7,1.0
1987-11-28,796.4,1.0
1987-11-21,797.5,1.0
1987-11-14,798.8,1.0
1987-11-07,799.5,1.0
1987-10-31,801.4,1.0
1987-10-24,803.8,1.0
1987-10-17,804.9,1.0
1987-10-10,805.8,1.0
1987-10-02,805.9,1.0
1987-09-26,805.6,1.0
1987-09-19,805.9,1.0
1987-09-12,806.6,1.0
1987-09-05,806.9,1.0
1987-08-29,807.7,1.0
1987-08-22,807.6,1.0
1987-08-14,808.6,1.0
1987-08-08,808.6,1.0
1987-08-01,808.1,1.0
1987-07-25,807.8,1.0
1987-07-18,808.0,1.0
1987-07-11,807.9,1.0
1987-07-04,808.3,1.0
1987-06-27,808.8,1.0
1987-06-20,811.5,1.0
1987-06-13,813.6,1.0
1987-06-05,821.2,1.0
1987-05-30,822.7,1.0
1987-05-23,824.2,1.0
1987-05-16,827.6,1.0
1987-05-09,832.1,1.0
1987-05-02,833.0,1.0
1987-04-25,836.3,1.0
1987-04-18,839.8,1.0
1987-04-11,842.0,1.0
1987-04-04,845.4,1.0
1987-03-28,847.8,1.0
1987-03-21,850.3,1.0
1987-03-14,853.6,1.0
1987-03-07,854.6,1.0
1987-02-28,854.8,1.0
1987-02-21,855.9,1.0
1987-02-14,856.8,1.0
1987-02-07,857.4,1.0
1987-01-31,857.2,1.0
1987-01-24,857.9,1.0
1987-01-17,858.1,1.0
1987-01-10,860.2,1.0
