date,close_krw,close_usd
2004-12-26,2.27,2.27
2004-12-19,2.23,2.23
2004-12-12,2.09,2.09
2004-12-05,1.98,1.98
2004-11-28,2.01,2.01
2004-11-21,1.99,1.99
2004-11-14,2.02,2.02
2004-11-07,1.76,1.76
2004-10-31,1.79,1.79
2004-10-24,1.72,1.72
2004-10-17,1.79,1.79
2004-10-10,1.71,1.71
2004-10-03,1.86,1.86
2004-09-26,1.76,1.76
2004-09-19,1.58,1.58
2004-09-12,1.48,1.48
2004-09-05,1.48,1.48
2004-08-29,1.52,1.52
2004-08-22,1.5,1.5
2004-08-15,1.48,1.48
2004-08-08,1.32,1.32
2004-08-01,1.29,1.29
2004-07-25,1.25,1.25
2004-07-18,1.24,1.24
2004-07-11,1.24,1.24
2004-07-04,1.25,1.25
2004-06-27,1.05,1.05
2004-06-20,1.0,1.0
2004-06-13,1.0,1.0
2004-06-06,0.99,0.99
2004-05-30,1.02,1.02
2004-05-23,0.99,0.99
2004-05-16,1.02,1.02
2004-05-09,0.99,0.99
2004-05-02,1.03,1.03
2004-04-25,0.99,0.99
2004-04-18,0.99,0.99
2004-04-11,1.01,1.01
2004-04-04,1.0,1.0
2004-03-28,1.0,1.0
2004-03-21,0.99,0.99
2004-03-14,0.99,0.99
2004-03-07,1.0,1.0
2004-02-29,1.04,1.04
2004-02-22,0.99,0.99
2004-02-15,1.01,1.01
2004-02-08,0.99,0.99
2004-02-01,1.03,1.03
2004-01-25,1.0,1.0
2004-01-18,0.98,0.98
2004-01-11,0.99,0.99
2004-01-04,1.01,1.01
